,0
0,['Nederland blijft tot het einde van deze maand in een \'intelligente lockdown\' om verspreiding van het nieuwe coronavirus tegen te gaan.']
1,['Vandaag presenteren zeven partijen hun corona-app die moeten helpen bij het contactonderzoek van de GGD en de communicatie met artsen als je ziek bent.']
"2,""['\'Geen persoonsgegevens nodig\', \'bijna niet te hacken\' en \'volledig anoniem\'. Aan mooie woorden over privacy ontbrak het niet tijdens de presentaties voor een ...']"""
"3,""['De afgelopen 24 uur zijn er 142 nieuwe coronadoden gemeld. Het totale aantal mensen dat is overleden aan corona, loopt daarmee op tot 3601. Dat meldt het ...']"""
4,['Het is alweer vijf weken geleden dat Kendra en Michael uit de Amerikaanse staat Pennsylvania hun tweelingdochters hebben gezien. Door de uitbraak van het ...']
5,['De Groninger studentenvereniging Vindicat atque Polit schrapt het lidmaatschap van vijftien leden. Dit omdat ze afgelopen nacht een feestje vierden in het ...']
6,['Java-apen zijn geschikt om nieuwe medicijnen en experimentele vaccins te testen in de strijd tegen het coronavirus. Dat zeggen verschillende wetenschappers ...']
7,['Het dodental van het coronavirus in België is het afgelopen etmaal opgelopen met 290 tot 5453 mensen. Wel lijken de sterftecijfers en het aantal ...']
"8,""['Wereldwijd zijn meer dan 154.000 mensen overleden aan de gevolgen van het uit China overgewaaide coronavirus, al ligt het werkelijke aantal hoger.']"""
9,['Het coronavirus heeft tot nu toe aan zeker 3601 mensen het leven gekost in Nederland. Bij het Rijksinstituut voor Volksgezondheid en Milieu (RIVM) zijn 142 ...']
"10,""['Ondanks mijn 74 jaar zal het coronavirus mij niet treffen, dacht de topfitte Pieter Rijnbeek uit Sint-Michielsgestel. Tot hij met veertig graden koorts thuis flauwviel ...']"""
11,['De Amerikaanse strijdkrachten krijgen door een grote Covid-19-uitbraak op een vliegdekschip meer zicht op hoe het coronavirus zich gedraagt binnen een ...']
"12,""['Het aantal doden en ziekenhuisopnames als gevolg van het coronavirus blijft stijgen, maar de laatste cijfers van gisteren waren al minder erg dan de dag ervoor ...']"""
13,['De staat New York is met meer dan tienduizend doden het epicentrum van de corona-epidemie in de Verenigde Staten. New York City is het zwaarst getroffen.']
14,['In deze serie laten we nabestaanden aan het woord over hun geliefden die zijn overleden door corona. Deze keer een eerbetoon aan Aris Dijksman (83).']
"15,""['De uitvaart van Arjan Bok (41) uit Nij Beets zag er vanwege de coronamaatregelen anders uit dan hij had bedacht. Met een erehaag brachten vrienden, ...']"""
16,['Het is essentieel dat iedereen weet wat de coronamaatregelen zijn om daadwerkelijk de verspreiding van het virus in te dammen. Daarom zijn er ook voor de ...']
17,['Het aantal inwoners van Gelderland dat is overleden aan het coronavirus is opgelopen tot 412. Dat zijn er 19 meer dan het RIVM gisteren meldde.']
18,['In Nederland zijn 3459 mensen overleden aan de gevolgen van het coronavirus. ♢ In dit artikel houden we alle cijfers bij. ♢ Download onze app en ...']
19,['Het RIVM meldt dat er de afgelopen 24 uur 142 personen als overleden zijn gemeld. In dit liveblog houden we je op de hoogte van al het nieuws over het ...']
20,['Het aantal mensen uit de Noordkop met corona in het ziekenhuis ligt is vrijwel stabiel.']
21,['Sinds het uitbreken van het coronavirus is het aantal ziekmeldingen in de zorg in maart met 40 procent gestegen. Zorgmedewerkers worden meer blootgesteld ...']
22,['De invoering van een app in de strijd tegen het coronavirus moet aan strikte privacyregels onderworpen zijn en het gebruik ervan moet op vrijwillige basis ...']
"23,""['IT-experts die de voorstellen voor corona-apps voor het kabinet hebben bekeken, hebben in een brief forse kritiek geuit op de selectieprocedure waarmee de ...']"""
24,['Zaterdag presenteren de zeven bedrijven en organisaties die zijn doorgedrongen tot de voorselectie van een corona-app hun ideeën aan het publiek.']
"25,""['De een was doodziek en lag twee weken aan de zuurstof, de ander kwam er vanaf met milde klachten als keelpijn en koorts. Tien ex-coronapatiënten geven ...']"""
26,['Mensen met psychische klachten hebben het zwaar. Vanwege de coronacrisis vinden gesprekken met therapeuten alleen nog telefonisch plaats en sommige ...']
27,['Er komt steeds meer kritiek op de gehaaste zoektocht van het ministerie van Volksgezondheid naar een corona-app voor Nederland. Vrijdag werden zeven ...']
28,['In dit liveblog houdt Binnenlands Bestuur naast de reguliere berichtgeving een chronologisch overzicht bij van het laatste nieuws over het …']
"29,""['Er zijn al duizenden boetes uitgedeeld aan mensen die zich niet aan de corona-maatregelen hielden, maar nog niet aan bedrijven. De Inspectie SZW heeft tot ...']"""
30,['Het kabinet stelt de toekomstige corona-app niet verplicht. Mensen kunnen die app binnenkort vrijwillig downloaden. Dat zei premier Mark Rutte vrijdag.']
"31,""['updateWereldster Lady Gaga heeft ons land voor het oog van haar 81,2 miljoen volgers op Twitter bedankt voor de 50 miljoen euro die Nederland bijdraagt aan ...']"""
"32,""['Zonder iets te merken wel besmet zijn met het coronavirus en er ook weer van herstellen. Is dat mogelijk, willen onder anderen Karlijn, Rob en Mariska weten.']"""
33,['Tegen de verwachting in worden voor huizen nog steeds fors hogere prijzen betaald dan vorig jaar. Wel is het aantal verkopen drastisch afgenomen.']
34,['Decennia aan discriminatie hebben ervoor gezorgd dat je een last meezeult als je arm en zwart opgroeit in de Verenigde Staten. De corona-uitbraak in het land ...']
"35,""['BORNE - Het Twentse nieuws omtrent het coronavirus volgt zich in zo\'n hoog tempo op, dat het bijna niet bij te benen is. Daarom maken we elke dag een ...']"""
"36,""['Ouderen zonder kennis van internet hebben het in deze coronatijd extra lastig met boodschappen. Online bestellen gaat niet, je zult zelf het gevaar moeten ...']"""
